Number of active threads,Average Overall Response Times,Overall Response Times
1,,0.9538461538461543
2,,0.9068859011627906
3,,0.7424087525782445
4,,1.1589041095890413
5,,1.0691417026607115
6,,0.8879997507200823
7,,1.034455744732496
8,,1.0519229108161583
9,,1.5342173003107313
10,,1.1395652516234465
11,,1.1766832901527886
12,,1.2626533177389156
13,,1.4805897586868244
14,,1.8679500069107886
15,,1.1423336848524388
16,,2.0037848424405174
17,,1.3541232937310204
18,,1.535947637915436
19,,1.6426249336527075
20,,1.4900153111147476
21,,3.786249970301402
22,,1.539847611918572
23,,1.6195246406449815
24,,1.5868442161753527
26,,10.96579317076223
27,,2.368477517714085
28,,1.9547083403296763
29,,1.695817374163665
30,,2.265562970886578
31,,7.601534047632153
32,,2.6019924549459086
33,,1.8804155485653617
34,,2.4156371478531926
35,,2.810109801218888
36,,2.978862264331944
38,,14.772005737119683
39,,3.3901041798969915
40,,3.050298163661696
41,,2.9002838905664623
42,,2.8137402000529623
43,,8.685534068906998
44,,2.9098878065528293
45,,3.0805014644285627
46,,3.1719432411180706
47,,4.512149832438575
48,,5.99116531862237
49,,3.197749822071115
50,,3.3971321098802947
51,,3.373524492877484
52,,8.517516380929118
53,,2.9112422581088078
54,,3.23372827234849
55,,7.02553795149292
56,,3.5869465991803042
57,,4.403368634976779
58,,3.9843606921327823
59,,3.9537591360076147
60,,7.215139529010052
61,,4.745491578863808
62,,4.614608188856646
63,,4.527720007427338
64,,6.230158317011847
65,,4.2143577284491265
66,,4.355012906683453
67,,7.380910607583455
68,,4.131908646125642
69,,3.844485650285214
70,,4.325872225858318
71,,7.328131942473492
72,,5.53884436081062
73,,5.181271619308137
74,,4.660650860436237
75,,7.714336607935529
76,,3.8366276702633084
77,,3.9074841087447294
78,,9.346119813712718
79,,4.467396874622645
80,,4.687304913778697
81,,9.544739316518356
82,,5.230010456225441
83,,5.066345597192859
84,,5.098068350096354
85,,9.174698358760923
86,,4.745414042237044
87,,4.499587150524312
88,,11.774886603692634
89,,5.12869692060634
90,,4.64217595883834
91,,4.564077498998345
92,,7.96478978825601
93,,5.51668307490621
94,,5.1749221989576775
95,,11.263325519107221
96,,5.226059319494162
97,,5.328664618788201
98,,7.920250632505666
99,,6.91226397175535
100,,5.683988772774898
101,,5.549744278619139
102,,12.458699280686835
103,,5.724751262841261
104,,5.550068227263387
105,,12.465071328163605
106,,5.580245414373111
107,,5.6264552806568595
108,,5.167959965008638
109,,7.765983988214193
110,,5.132138988165901
111,,5.706557312092965
112,,7.317977397067711
113,,5.170936300512859
114,,9.827104476458016
115,,5.181348263041782
116,,5.599178625701895
117,,9.82679821237986
118,,5.764994201521715
119,,5.701703983795222
120,,10.650198970753545
121,,5.399412618672034
122,,5.5641255674262915
123,,11.240649853881168
124,,5.435411628604086
125,,5.736275449838883
126,,10.809008098250441
127,,5.747472988819104
128,,5.834063848792335
129,,10.917943772917926
130,,5.8558421784871415
131,,6.301966712841965
132,,10.936800468107316
133,,5.948569126373914
134,,6.190147179006496
135,,13.177351961747757
136,,5.956565512442329
137,,5.650145167462376
138,,12.290047366731837
139,,6.884671200171867
140,,6.421819524730364
141,,12.73192709172851
142,,6.271868038423905
143,,6.6902332285027555
144,,12.650018480388853
145,,6.689121542598527
146,,6.805698928278387
147,,7.293286830638445
148,,9.924003153008634
149,,7.295721943672884
150,,6.776042970706248
151,,10.790729669117455
152,,7.1202417560474345
153,,7.143327884840096
154,,11.44311710833553
155,,7.536966046546798
156,,7.246390600824005
157,,12.394087451416185
158,,7.324650718207703
159,,7.556257674123141
160,,14.16549256986638
161,,7.050122224250716
162,,7.613232994896591
163,,16.405625185087175
164,,7.6776414923444785
165,,7.808793737767725
166,,16.419677759232243
167,,7.704134510478305
168,,7.929392140118078
169,,15.155045596797931
170,,8.196602667847973
171,,8.24509492638063
172,,14.115519693724412
173,,8.43268052630184
174,,7.517776054268959
175,,7.082647553791186
176,,10.511233570678577
177,,8.702208055197797
178,,8.04362835196535
179,,13.802085510744487
180,10.241187346760848,8.012484441645803
181,,9.08284126377641
182,,14.769946810471763
183,,8.843000702622478
184,,8.250075223923263
185,,15.893603124320062
186,,8.218522765900802
187,,8.540827617751976
188,,19.464154705472847
189,,8.535712665633785
