Number of active threads,Average Overall Response Times,Overall Response Times
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
26.32,,2.9454193488360647
27.36,,2.984567270921318
28.4,,3.0311041183450325
29.44,,3.1567667023233255
30.48,,3.2053275521151505
31.52,,3.272012090761472
32.56,,3.333939309589726
33.6,,3.3923253774152284
34.64,,3.5155897097791065
35.68,,3.579815195350168
36.72,,3.6493160540948315
37.76,,3.7163367884403224
38.8,,3.8156868884257813
39.84,,3.8703622478210273
40.88,,3.9201035058164804
41.92,,4.0448750442711
42.96,,4.087437520344803
44.0,,4.137244767475886
45.04,,4.193043259234744
46.08,,4.306753399411161
47.12,,4.387729980405078
48.16,,4.4156304133852124
49.2,,4.478046478355567
50.24,,4.599942717701378
51.28,,4.644938386783136
52.3,,4.503772205542787
53.32,,4.643325051462758
54.34,,4.693578822148618
55.36,,4.753408572940918
56.38,,4.8989920998535545
57.4,,4.8515616280254195
58.42,,4.900848690870359
59.44,,4.965201746900979
60.46,,5.100382971119132
61.48,,5.139089055939495
62.5,,5.169503553663342
63.5,,5.1095611709948
64.5,,5.144333025808987
65.5,,5.17617058171252
66.5,,5.209446453881157
67.5,,5.312467445645218
68.5,,5.2490904257652025
69.5,,5.2943911136133
70.5,,5.458047594706874
71.5,,5.499129916274395
72.5,,5.515460212001387
73.5,,5.554041918279053
74.5,,5.6283322012727375
75.5,,5.674069334530629
76.5,,5.717593730245462
77.5,,5.7964173882406165
78.5,,5.852687568335266
79.5,,5.899014367433564
80.5,,6.007805034966977
81.5,,6.047671011270833
82.5,,6.072132744184435
83.5,,6.095804729641952
84.5,,6.1720492266860845
85.5,,6.130389215869201
86.5,,6.149610530533783
87.5,,6.203677914698004
88.5,,6.216542240559715
89.5,,6.288481163748639
90.5,,6.307820974440492
91.5,,6.332704288820861
92.5,,6.381622040916788
93.5,,6.41428375202471
94.5,,6.45142811869491
95.5,,6.577914653592814
96.5,,6.539340267116786
97.5,,6.539845891249099
98.5,,6.66103345594056
99.5,,6.676528671303917
100.5,,6.636967448141984
101.5,,6.776415056701727
102.5,,6.813214834303214
103.5,,6.742973715004806
104.5,,6.871984652970712
105.5,,6.89535539826488
106.5,,6.830499946191353
107.5,,6.9446357464289905
108.5,,6.962280217012611
109.5,,6.9841217935908135
110.5,,7.064174865650552
111.5,,7.088397895054658
112.5,,7.11140905539342
113.5,,7.1217122706542035
114.5,,7.156831756245514
115.5,,7.192424627563355
116.5,,7.355781619417957
117.5,,7.321923184421316
118.5,,7.3453941874932465
119.5,,7.49489611312187
120.5,,7.403412033591695
121.5,,7.43500482576738
122.5,,7.474297270004386
123.5,,7.514372320414445
124.5,,7.522041479852796
125.5,,7.543882563811423
126.5,,7.64870227162139
127.5,,7.5419331211286025
128.5,,7.570304653568579
129.5,,7.688165631190021
130.5,,7.589603525557685
131.5,,7.622926429286703
132.5,,7.758279072701889
133.5,,7.80141288776587
134.5,,7.797218361484048
